Nº,FECHA,AUTOR,TITULO,EDITORIAL,ISBN,D,PUCCI NELIDA
46,2/12/2009, Distribuidora Valenciana,Los tres cerditos," España : Aldoy Grafic, ",ISBN : 84-932708-9-X ,D,Graciela I. de Genolet
47,2/12/2009, Diney,Tierra de Osos," Argentina : Ed. Sigmar S.A., 2003. ",ISBN : 950-11-1653-0,D,Graciela I. de Genolet
48,2/12/2009, Disney,Chicken little," Argentina : Ed. Sigmar S.A., 2006. ",ISBN : 950-11-1875-4,D,Graciela I. de Genolet
49,2/12/2009, Disney,Buscando a Nemo. El reencuentro," Argentina : Ed. Sigmar S.A., 2005. ",ISBN : 950-11-1636-0,D,Graciela I. de Genolet
50,2/12/2009, Foundatión Books S.A.,La Cenicienta," Brasil : Ed. Comphania Melhoramentos, 1995. ",ISBN : 956-7240-46-9,D,Graciela I. de Genolet
51,2/12/2009," Serrano, Maria Laura",Gatos y Gatitos," Argentina : Ed. Sigmar S.A., 1984. ",ISBN : 950-11-0128-2,D,Graciela I. de Genoñet
52,2/12/2009," Wadswoth, Wallace C.",Los siete gatos maravillosos," Argentina : Ed. Sigmar S.A., 1978. ",,,
53,2/12/2009," Sonneborn, Ruth A.",Alguién está comiendo al sol," Argentina : Ed. Sigmar S.A., 1978. ",,,
54,2/12/2009," Heap, Sue",Espera y Verás," Argentina : Ed. Sudamericana, 2001. ",ISBN : 950-07-2025-9,D,Graciela I. de Genolet
55,2/12/2009," Asor, Mercedes",Caballito," España : Ed. Betis, ",ISBN : 84-7160-073-0,D,Graciela I. de Genolet
56,2/12/2009, Disney,Bambi 2," Argentina : Ed. Sigmar S.A., 2006. ",ISBN : 950-11-1951-3,D,Graciela I. de Genolet
57,2/12/2009, Biblioteca SALVAT,Viajes Espaciales," España : Ed. SALVAT, 1976. ",ISBN : 84-345-7411-X,D,Graciela I. de Genolet
58,2/12/2009," Scgmitz, Siegfried",Terrario Ciencia Juvenil," Argentina : Ed. Cincel, 1974. ",ISBN : 84-7046-060-9,D,Graciela I. de Genolet
59,2/12/2009," De La Grange, Francois - Reille, Antoine",Las aves y sus secretos," España : ed. Fher S.A., 1976. ",ISBN : 84-243-1157-4,D,Graciela I. de Genolet
60,4/28/2009," León, María Teresa",El Cid Campeador," Argentina : Comp.Gral. Fabril Ed., 1976. ",,,
61,4/28/2009," de Carvantes Saavedra, Miguel",Rinconete y cortadillo," España : KAPELUSZ, 1962. ",,,
62,4/28/2009, Biblioteca SALVAT,Viajes Espaciales," España : Ed. SALVAT, 1973. ",ISBN : 84-345-7411-X,D,B.P. ORIENTECION
63,4/28/2009," Fernández de Moratín, Leandro",El si de las niñas," Argentina : Ed. Sopena, 12969. : 141p. ",,,
64,4/28/2009," Obligado, Rafael",Poesías completas," Argentina : Ed. Sopena, 1963. ",,,
65,4/28/2009," Benavente, Jacinto",Los intereses creados," Argentina : SALVAT Editores, 1970. ",,,
66,4/28/2009," De la Barca, Calderón",El Alcalde de Zalamea," Argentina : Ed. PLUS ULTRA, 1977. ",,,
67,4/28/2009," De la Barca, Calderón", La vida es sueño," Argentina : SALVAT EDITORES S.A., 1970. ",,,
68,4/28/2009," Melville, Hernán",Bartley el escribiente," Argentina : Ed. Cátedra - Página/12, ", ISBN : 950-695-106-7,D,B.P. ORIENTACION
69,4/28/2009," Hoffmann, E. T. A.",El Voto," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN :  950-695-124-1,D,B.P. ORIENTQCION
70,4/28/2009, Stendhal,Vanina Vanini," Argentina : Ed. Alianza S.A,-Página/12, ",ISBN : 950-695-100-8,D,B.P. ORIENTACION
71,4/28/2009," Chesterton, Gilbert Keith",El Paraíso de los ladrones," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-685-116-0,D,B.P. ORIENTACION
72,4/28/2009," London, Jack",El hombre de la cicatriz y otras narraciones," Argentina : Ed. Alianza S.A.-página/12, ",ISBN : 950-695-147-0,D,B.P. ORIENTACION
73,4/28/2009," Hoffmann, E .T. A.",La casa vacía," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-119-5,D,B.P. ORIENTACION
74,4/28/2009," Chesterton, Gilbert Keit",Las muertes de los Pendragon," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-141-1,D,B.P. ORIENTACION
75,4/28/2009," Griene, Grahan",El Terder Hombre," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-047-4,D,B.P. ORIENTACION
76,4/28/2009," De Rojas, Fernanado",La Celestina," Argentina : C. Ed. De América Latina, 1969. ",,,
77,4/28/2009," De Quevedo, Francisco",La vida del buscón llamado Don Pablos," Argentina : Salvat Editores S.A., 19969. ",,,
78,4/28/2009," Becquer, Gustavo A.","Rimas, Artículos y Leyendas"," Argentina : Ed. Difusión, 1953. ",,,
79,4/28/2009," De Maupassant, Guy",Cuentos de guerra," Argentina : Ed. E. Rei Arg. S.A.-Página/12, ",ISBN : 950-695-091-1,D,B.P. ORIENTACION
80,4/28/2009," De Maupassant, Guy",Un parricida," Argentina : Ed. Alianza S.a.-Página/12, ",ISBN : 950-695-135-7,D,B.P ORIENTACION
81,4/28/2009, Stendhal,Vanina Vanini," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-100-8,D,B.P. ORIENTACION
82,4/28/2009," García Lorca, Federico",Doña Rosita La Soltera," Argentina : Ed.Losada S.A.-Página/12, ",ISBN : 950-695-075-X,D,B.P.ORIENTACON
83,4/28/2009, De Maupossant,Magnetismo y otros cuentos," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-140-3,D,B.P. ORIENTACION
84,4/28/2009," Melville, Hermann","Belly Bud, Marinero "," Argentina : Ed. Catedra S.A.-Página/12, ",ISBN : 950-695-077-6,D,B.P. ORIENTACION
85,4/28/2009," García Lorca, Federico",Doña Rosita La Soltera," Argentina : Ed. Losada S.A.-Página/12, ",ISBN : 950-695-075-X,D,B.P. ORIENTACION
86,4/28/2009," Mayor de Piérola, Amanda","Amanda, dolor y esperanza", Argentina ,ISBN : 978-987-24913-7-684-305-8095-6,D,B.P. ORIENTACION
87,4/28/2009," De Maupassant, Guy",Un Parricida," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-135-7,D,B.P. ORIENTACION
88,4/28/2009," Wells, Hebert G.",La máquina del tiempo," Argentina : Ed. Nuevo Siglo S.A., 1995. ",ISBN : 987-9049-96-9,D,B.P. ORIENTACION
89,4/28/2009," Fernández de Moratín, Leandro",El Sí de las Niñas," Argentina : Ed. Colihue, 1981. ",,,
90,4/28/2009," de L'Isle, Villiers - Philippe, Adam",Vox Populi y otros cuentos crueles," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-133-0,D,B.P. ORIENTACION
91,4/28/2009," De Maupassant, Guy",Cuentos de guerra," Argentina : Ed. E. Rei S.A.-Página/12, ",ISBN : 950-695-091-1,D,B.P. ORIENTACION
92,4/28/2009," Hernández, Miguel",Antología," Argentina : Ed. Losada S.A.-Página/12, ",ISBN : 950-695-099-7,D,B.P ORIENTACION
93,4/28/2009," Melville, Herman",Benito Sereno," Argentina : Ed. Nuevo Siglo S.A., 1995, ",ISBN : 987-9049-60-8,D,B.P. ORIENTACION
94,4/28/2009," De Cervantes Saavedra, Miguel",La Gitanilla," Argentina : Ed. KAPELUSZ S.A., 1965. ",,,
95,4/28/2009," Becquer, Gustavo Adolfo",Rimas," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-143-4,D,B.P. ORIENTACION
96,4/28/2009," Bullrich, Silvina",¿A qué hora murió el enfermo?," Argentina : Ed. Rapiri S.A., 1984. ",ISBN : 950-19-0171-8,D,B.P. ORIENTACION
97,4/28/2009," Quiroga, Horacio",El Potro Salvaje," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-125-X,D,B.P. ORIENTACION
98,4/28/2009, Stendhal,Los Cenci. La Duquesa de Palliano," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-107-5,D,B.P. ORIENTACION
99,4/28/2009," Terzi, Mariela - Ortega, Emilio",100 Barcos de Vapor," España . Ediciones S. M., 1987. ",ISBN : 84-348-2031-5,D,B.P. ORIENTACION
100,4/28/2009," Wilde, Oscar",El Fantasma de Canterville," Argentina : Ed. E. Rei-Página/12, ",ISBN : 950-695-064-4,D,B.P. ORIENTACION
101,4/28/2009, Stendhal,Relatos,"Argentina : Ed. Salvat, 1970. ",,,
102,4/28/2009," Gorki, Maximo",Malva," Argentina : Ed. Antártica S.A.-Página/12, ",ISBN : 950-03-154-3,D,B.P. ORIENTACION
103,2804/2009," Gogol, Nicolás",El Retrato," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-136-5,D,B.P. ORIENTACION
104,4/28/2009," Kipling, Rudyard",Rikki - Tikki - Tavi y otras historias de la selva," Argentina : Ed. Alianza S.A.-Página/12, ",ISVN : 950-695-144-6,D,B.P. ORIENTACION
105,4/28/2009," Conan Doyle, Arthr",El carbúmclo azul," Argentina : Ed.Alianza S.A.-Página/12, ",ISBN : 950-695-127-6,D,B.P. ORIENTACION
106,4/28/2009," Bande, Manuel",Fortín La Soledad," Argentina : Imprenta Lux S.R.L., 1994. ",ISBN : 950-43-5467-X,D,B.P. ORIENTACION
107,4/28/2009," Valera, Juan",Pepita Jiménez," Argentina : Ed. Losada S.A.,1939. ",,,
108,4/28/2009," Bullrich, Silvina",Mañana digo basta," Argentina : Ed. Sudamericana, 1975. ",,,
109,4/28/2009," de Ibarbourou, Juana",Chico Carlo," Argentina : Ed. KAPELUSZ, 1958. ",,,
110,4/28/2009," Casona, Alejandro",Los árboles mueren de pie," Argentina : Ed. Losada S.A., 1984. ",,,
111,4/28/2009, Asociación Santafesina de Escritores,Mesa de Homenajes," Argentina : Imprenta Lux, 1997. ",,,
112,4/28/2009," London, Jack",Diablo," Argentina : Ed. Rei-página/12, ",ISBN : 950-695-067-9,D,B.P. ORIENTACION
113,4/28/2009," Machado, Antonio",Antología," Argentina : Ed. Losada S.A.-Página/12, ",ISBN : 950-695-088-1,D,B.P. ORIENTACION
114,4/28/2009," de Cervantes Saavedrta, Miguel",Novelas Ejemplares," Argentina : Ed. Sopena S.A., 1958. ",,,
115,4/28/2009," Flavín, Martín",El Hechizado," Argentina : Ed. Sudamericana, 1984. ",,,
116,4/28/2009,"  London, Jack",La huelga general," Argentina : Ed. Rei-Página/12, ",ISBN : 950-695-126-8,D,B.P. ORIENTACION
117,4/28/2009," Renata, Eugenia",Podemos juntar flores," Argentina : Imp. Lux, 2005. ",ISBN : 987-43-9485-4,D,B.P. ORIENTACION
118,4/28/2009," Conrad, Josepe",La posada de las dos brujas," Argentina : Ed. Alianza S.A.-página/12, ",ISBN : 950-695-103-2,D,B.P ORIENTACION
119,4/28/2009," Machado, antonio",Los Máximos Creadores," Argentina : Ed. Perfil S.A., 1997. ",ISBN : 950-639-031-2,D,B.P. ORIENTACION
120,4/28/2009," Chejov, Anton",El Monje Negro," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-055-5,D,B.P. ORIENTACION
121,4/28/2009," Neruda, Pablo",Los Máximos Creadores," Argentina : Ed. Perfil S.A., 1997. ",ISBN : 950-639-032-0,D,B.P.ORIENTACION
122,4/28/2009," Lafond, Jaques",Las mejores recetas con soja," Argentina : Gama Prod. Gráfica, 2002. ",ISBN : 950-768-398-4,D,B.P. ORIENTACION
123,4/28/2009, WATCH TOWER BIBLE AND TRACT SOCIETY OF , PENNSILVANIA INTERNATIONAL BIBLE STUDENTS, ASSOCIATION,"La vida … ¿Cómo se presentó aquí? ¿Por evolución , o",,
124,4/28/2009," Vecchioli, Mario R.",Obra Poética édita e inédita," Argentina : Ed. Municipalidad de Rafaela, 1981.",                     328 p. ; 26 cm.,D,B.P. ORIENTACION
125,4/28/2009," Seton, Anya",Verde Oscuridad -Novela Romántica," Argentina : Emecé, 1979. ",,,
126,4/28/2009," Bande, Manuel",Cuentos de por aquí nomas," Argentina : Imp. Lux, 1996. ",ISBN : 987-99646-3-2,D,B.P. ORIENTACION
127,4/28/2009, Goethe,Werther," Argentina : SALVAT Editores S.A., 1969. ",,,
128,4/28/2009," Conan Doyle, Arthur",Sherlock Holmes El aristócrata solterón," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN :950-695-134-9,D,B.P. ORIENTACION
129,4/28/2009," de Quincey, Thomas",La rebelión de los tártaros," Argentina : Ed. Rei S.A.-Página/12, ",ISBN : 950-695-159-4,D,B.P. ORIENTACION
130,4/28/2009," Bierce, Ambrose",Los ojos de la pantera y otros relatos," Argentina : Ed. Rei-Página/12, ",ISBN : 950-695-131-4,D,B.P. ORIENTACION
131,4/28/2009," Bierce, Ambrose",Un jinete por el cielo," Argentina : Ed. Alianza S.A.-Página/12, ",ISVN : 950-695-132-0,D,B.P. ORIENTACION
132,4/28/2009," Chesterton, Gilbert Keith",El candor del Padre Brown," Argentina : Ed. Alianza S.A.-Página/12, ",ISBN : 950-695-059-8,D,B.P. ORIENTACION
133,4/28/2009," Sabato, Ernesto",Informe sobre ciegos," Argentina : Rd. Espasa Calpe-Página/12, ",ISBN : 987-9015-06-1,D,B.P. ORIENTACION
134,4/28/2009," Bret Harte, Francis",El MONTE DEL Diablo y otros relatos," Argentina : Ed. Rei-Página/12, ",ISBN : 950-695-079-C,D,B.P. ORIENTACION
135,4/28/2009," Goglo, Nikolai V.",El Capote," Argentina : Ed. Rei-Página/12, ",ISBN : 950-695-120-9,D,B.P. ORIENTACION
136,4/28/2009," Kafka,Franz",La Metamorfosis," Argentina : Ed. Cátedra S.A.-Página/12, ",ISBN : 950-695-053-9,D,B.P. ORIENTACION
137,4/28/2009," Bullrich, Silvina",Los Pasajeros del Jardín,"Argentina : Emecé Editores, 1971. ",,,
138,4/28/2009," Ribeiro, Alex",¿Quién ganó la COPA MUNDIAL?," Estados Unidos : Ed. CARIBE, 1998. ",ISBN : 0-88113-495-3,D,B.P. ORIENTACION
139,4/28/2009," Puig, Manuel",Boquitas pintadas," España : Ed. AGEA. S.A., 1969. ",ISBN : 84-95594-60-9,D,B.P. ORIENTACION
140,4/28/2009," Ramos-Olivera, Antonio",La Vida de un Rey Memorias del duque de Windsor," Mexico : Ed. Mexicana S.A., 1951. ",,,
141,4/28/2009, Imaginador,Diseños de tortas para fiestas," Argentina : IMPRECO GRAFIA, 1996. ",ISBN : 950-768-111-6,D,B.P. ORIENTACION
142,4/28/2009," Cornwell, Patricia",Predator,"Argentina : Ediciones B S.A., 2006. ",ISBN : 84-666-2911-4,D,B.P. ORIENTACION
143,4/28/2009," De Santais, Pablo",El enigma de París,"Argentina : Ed. Planeta S.A., 2007. ",ISBN : 978-958-42-1686-1,D,B.P. ORIENTACION
144,4/28/2009," Colin A, Roman",Secretos del cosmos," Argentina : SALVAT,Editores, 1970. ",,,
145,4/28/2009," De Vega, Lope",FUENTEOVEJUNA," Argentina : Ed. Sopena,1959. ",,,
146,4/28/2009," Del Campo, Estanislao",FAUSTO," Argentina : Ed. Sopena, 1958. ",,,
147,4/28/2009," De Rojas, Fernanado",La Celestina," Argentina : Ed. Sopena, 1958. ",,,
148,4/28/2009," Dumas, Alejandro",Los Tres Mosqueteros,                : 352 p. ,,,
149,5/26/2009, READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos," México : Reader's Digest, 2000. ",ISSN : 1405-7999 ,D,YOLANDA ZACARIAS
150,5/26/2009, READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos,"México : Reader's Digest, 2000.",ISSN1405-7999,D,YOLANDA ZACARIAS
151,5/26/2009," Baum, Vicky",El lago de las damas," España : Ed. Planeta/Bruguera, 1985. ",ISBN : 84-320-8200-1,D,YOLANDA ZACARIAS
152,5/26/2009," Dayub, Gerardo A.",Gestión Cultural en Entre Ríos," Argentina : Delta Editora, 2008. ",,,
153,5/26/2009," Beloff, Mary Ana y Otros",Cuadernos de la carcel," Argentina :   ,1991. ",,D,YOLANDA ZACARIAS
154,5/26/2009, Ministerio de Salud y Acción Social,Funciones Esenciales de Salud Pública," Argentina : Ministerio de Saluda, 2008. ",ISBN : 978-950-710-113-7,D,YOLANDA ZACARIAS
155,5/26/2009," Truffer, Isabel - Storani, Silvia M.",El Campo de Ciencia y Tecnología de la UNER," Argentina : UNER,2004. ",ISBN : 950-698-118-3,D,YOLANDA ZACARIAS
156,7/29/2009," Chomsky, Noam - Petra, James - Morley, Morris",Clinton La Política del actual Gobierno de EE. UU.," Chile : Ed. Antártica S.A., 1994.  ",ISBN : 950-860-017-9,D,B.P. ORIENTACION
157,7/29/2009," Renata, Eugenia",Podemos juntar flores PARTE 1," Argentina : Imp. Lux S.A., 2005. ",ISBN : 987-43-9485-4,D,B.P. ORIENTACION
158,7/29/2009," Renata, Eugenia",Podemos juntar flores PARTE 2," Argentina : Imp. Lux S.A., 2006. ",ISBN : 987-05-1277-1,D,B.P. ORIENTACION
159,7/28/2009," Renata, Eugenia",Podemos juntar flores PARTE 3," Argentina : Imp. Lux S.A., 2006. ",ISBN : 987-05-0968-1,D,B.P. ORIENTACION
160,7/29/2009," Orgambide, Pedro",Ezequiel Martínez Estrada ANTOLIGIA," Chile : Ed. Antartíca S.A., 1995. ",ISBN : 950-860-024-1,D,B.P. ORIENTACION
161,7/29/2009," Gorini, Ulises",Tópicos utópicos - dialogos con la izquierda europea," Chile : Ed. Antártica S.A., 1994. ",ISBN : 950-860-011-X,D,B.P. ORIENTACION
162,7/29/2009," Gilio, María Esther",Conversaciones," Chile : Ed. Antártica S.A., 1993. ",ISBN : 950-860-005-5,D,B.P. ORIENTACION
163,7/29/2009," Di Stefano, Maria",Españoles Antología de Cuentos 1980-1993," Chile : Ed. Antártica S.A., 1994. ",ISBN : 950-860-015-2 ,D,B.P. ORIENTACION
164,7/29/2009," Villafañe, Javier",Antología Personal," Chile : Ed. Antártica S.A., 1993. ",ISBN : 950-860-006-3,D,B.P. ORIENTACION
165,7/29/2009," Alvarez, Patricia",Ecos del Sur la otra Ecología,"Chile : Ed. Antártica S.A., 1994. ",ISBN : 950-860-009-8,D,B.P. ORIENTACION
166,7/29/2009," Orgambide, Pedro",Gauchos y Soldados," Chile : Ed. Antártica S.A., 1994.",ISBN : 950-860-013-6,D,B.P. ORIENTACION
167,7/29/2009," Tomossi, Jorge",Crónicas casi reales," Chile : Ed. Antártica S.A., 1995. ",ISBN : 950-860-020-9,D,B.P. ORIENTACION
168,7/29/2009," Moreno, Horacio",Lo Fantastico cuentos de realidad e imaginación, Chile : Ed. Antártica S.A. ,ISBN : 950-860-004-7,D,B-.P-ORIENTACION
169,7/29/2009," Preidemberg, Daniel",En la noche historias despues de hora," Chile : Ed. Antártica S.A., 1995. ",ISBN : 950-860-023-3,D,B.P. ORIENTACION
170,7/29/2009," Dottori, Nora - Lafforgue, Jorge",Las Fronteras," Chile : Ed. Antártica S.A., 1993. ",ISBN : 950-99942-8-6,D,B.P. ORIENTACION
171,7/29/2009," Mayer, Marcos",El Peronismo Historias de una pasión argentina," Chile : Ed. Antártica S.A., 1994. ",ISBN : 950-860-016-0,D,B.P. ORIENTACION
172,7/29/2009," Puiggros, Adriana - Waldman, Fabiana",La educación ¿Hacia que fututro mira?," Chile : Ed. Antártica S.A. , 1994. ",ISBN : 950-860-014-4,D,B.P. ORIENTACION
173,7/29/2009," Shakespeare, William",Hamlet," Argentina : Ed. Salvat S.A., 1982. ",ISBN :  84-345-8020-9,D,B.P. ORIENTACION
174,4/21/2010," De Miguel, María Esther",un dandy en la corte del Rey Alfonso," Argentina : Ed. Planeta, 2000. ",ISBN : 950-49-0625-5,D,MIGUEL MAIN
175,4/21/2010," Fernández Díaz, Jorge",Mamá," Argentina : Ed. Sudamericana, 2002. ",ISBN : 950-07-2277-1,D,MIGUEL MAIN
176,4/21/2010," Orwell, george",1 9 8 4," España : Ed. Millenium, 1984. ",,,
177,4/21/2010," Bioy Casares, Adolfo y Borges, Jorge Luis",Los mejores cuentos Policiales (Selección)," Argentina : Emecé Editores, 1962. ",ISBN : 84-206-1368-1,D,MIGUEL MAIN
178,4/21/2010," García Márquez, Gabriel",La mala hora," Argentina : Ed. Sudamericana, 1973. ",,,
179,4/21/2010," García Márquez, Gabriel",Ojos de perro azul,"  España : Ed. Plaza & Janes S.A., 1974. ",ISBN : 84-01-144108-0,D,MIGUEL MAIN
180,4/21/2010," García Marquez, Gabriel",Relato de un Naufrago," España : Tusquets Editor, 1978. ",,,
181,4/21/2010," Simenon, Georges",El asesino del canal," Argentina : Ed. Planeta, 1994. ",ISBN : 84-7223-443-6,D ,MIGUEL MAIN
182,4/21/2010," Puzo, Mario",Los Tontos Mueren," España : Ed. Grijalbo, 1980. ",ISBN : 84-253-1080-6,D,MIGUEL MAIN
183,4/21/2010," Miller, Henry",La crucifixión rosada NEXUS," Argentina : Santiago Rueda Ed., 1969. ",,,
184,4/21/2010," Wesr, Morris",El Navegante," España : Ed. Pomaire, 1978. ",ISBN : 84-286-0138-0,D,MAIN MIGUEL
