Nº,Autor,Título,Editorial,ISBN
21, NOTICIAS Edición Homenaje,René Favaloro. De La Pampa a Los Estados Unidos," Argentina : Ed. Perfil, 2000. ; il. ; 92p. ; 20cm.",ISBN : 950-639-520-9
22," Averbach, Luján y Otros",20 de animales," Argentina :  Ed. Sudamericana S.A., 1997. ; 85p. ; 21cm.",ISBN : 950-07-1368-3
23," Applegate, K. A.",Lo olvidado," Argentina : ENECE, 1997. ; 171p. : 18 cm.", ISBN : 950-04-2165-8
24," Cazenave, Walter y Otros",Epopeyas Pampeanas, Argentina : Instituto Movilizador de Fondos Cooperativos ,                     Subsc. De Cultura de La Pampa
25," Salgari, Emilio",Los dos trigres," Argentina : Ed. Atlántida, 1974. ; il. ; 16 cm. ;",nan
26," Pairault, Suzanne",Lassie y Joe," Argentina : KAPELUSZ,1964. ; il. ; 189p. ; 20 cm. ",nan
27," Stevenson, Robert Lois",La Isla del Tesoro," Argentina : Ed. Difusión S.A., 1967. ; 141p. ; 17 cm. ",nan
28," Alcott, Luisa M.",Hombrecitos," Argentina : Ed. Difusión S.A., 1966. ; 291p. ; 17 cm.",nan
29," Twain, Mark",Aventuras de Tom Sawyer," Argentina : Ed. Atlántida, 1943. ; 125p. ; 16 cm.",nan
30, Ediciones SOLQUIN,La Caperucita Roja," Barcelona : Ed. ULTRAMAR S.A., 2000  ; il. ; 24 cm.",nan
31, Colección Pasatiempos,Caperucita Roja," España : Ed. Saldaña S.A., ; il. ; 23 cm.",ISBN : 84-7297-161-9
32, Ediciones SOLQUIN,El Patito Feo," Barcelona : Ed. ULTRAMAR S.A., 2000. ; il. ; 24 cm.",nan
33," Andersen, H. C.",El Patito Feo," España : Ed. Sirven Grafic S. A., 1989. ; il. ; 19 cm. ",ISBN : 84-7712-226-1
34, LATIN BOOKS,El Colibrí y Las Flores," Uruguay : Ed. SUDAMER S.A., ; il. ; 26 cm.",ISBN : 9974-7729-1-5
35," Cinetto, Liliana ",El Chivo y La Hormiga,"Uruguay : Ed. SUDAMER S. A., ; IL. ; 26 CM. ",ISBN : 9974-7730-2-4
36, Disney,La Bella y La Bestia," Argentina : Ed. Norma, 1992. ; il. ; 26 cm.",isbn : 958-04-1956-6
37,nan, Disney,Princesa de Porcelana," Argentina : Ed. Planeta DeAgostini, ; il. ; 16p. ; 26 cm."
37, Disney,Princesa de Porcelana," Argentina : Ed. Planeta DeAgostini, ; il. ; 16p. ; 26 cm.",ISBN : 84-395-3139-X
38," Granata, María",El Río Turuntún y una Orquesta Original," Argentina : Ed. Signar S.A., 1997. ; il. ; 20 cm.",isbn : 950-11-1116-4
39, Colección Arlequín,La Sirenita," España : Ed. Susaeta, ; il. ; 29 cm.",nan
40," Vigil, Constancio C.",La liebre y la tortuga," Argentina : Ed. Atlántida,1963. ; il. ; 29 cm.",nan
41," Dalmais, Anne Marie",Piscolabis a medianoche," España : Ed. EVEREST S.A., 1984. ; il. ; 15p. : 28 cm.",ISBN : 84-241-2224-2
42," Cabal, Graciela Beatriz",Una cadena muy importante,La Cadena Alimentaria," Argenytina : ALFAGUARA, 1988. ; il. ; 39p. ; 21 cm."
43, Publicaciones Fher,Peter Pan," España : Ed. Fher S.A., ; il. ; 23 cm.",ISBN : 84-243-3448-5
44, Estrella de Mar,La Bella y La Bestia," España _ Es susaeta S.A., ; il. ; 19 cm.",ISBN : 84-305-8095-6
45, LATINBOOKS,El respeto por la vida," Uruguay : Ed. SUADAMER S.A., ; il. ; 26 cm.",ISBN : 9974-7724-8-6
46, Distribuidora Valenciana,Los tres cerditos," España : Aldoy Grafic, ; il. ; 26 cm.",ISBN : 84-932708-9-X 
47, Diney,Tierra de Osos," Argentina : Ed. Sigmar S.A., 2003. ; il. ; 19 cm.",ISBN : 950-11-1653-0
48, Disney,Chicken little," Argentina : Ed. Sigmar S.A., 2006. ; il. ; 19 cm.",ISBN : 950-11-1875-4
49, Disney,Buscando a Nemo. El reencuentro," Argentina : Ed. Sigmar S.A., 2005. ; il. ; 19 cm.",ISBN : 950-11-1636-0
50, Foundatión Books S.A.,La Cenicienta," Brasil : Ed. Comphania Melhoramentos, 1995. ; il. ; 24 cm",ISBN : 956-7240-46-9
51," Serrano, Maria Laura",Gatos y Gatitos," Argentina : Ed. Sigmar S.A., 1984. ; il. ; 20 cm.",ISBN : 950-11-0128-2
52," Wadswoth, Wallace C.",Los siete gatos maravillosos," Argentina : Ed. Sigmar S.A., 1978. ; il. ; 26 cm.",nan
53," Sonneborn, Ruth A.",Alguién está comiendo al sol," Argentina : Ed. Sigmar S.A., 1978. ; il. ; 20 cm.",nan
54," Heap, Sue",Espera y Verás," Argentina : Ed. Sudamericana, 2001. ; il. ; 22 cm.",ISBN : 950-07-2025-9
55," Asor, Mercedes",Caballito," España : Ed. Betis, ; il. ; 24cm.",ISBN : 84-7160-073-0
56, Disney,Bambi 2," Argentina : Ed. Sigmar S.A., 2006. ; il. 19 cm.",ISBN : 950-11-1951-3
57, Biblioteca SALVAT,Viajes Espaciales," España : Ed. SALVAT, 1976. ; il. ; 141p. ; 19 cm.",ISBN : 84-345-7411-X
58," Scgmitz, Siegfried",Terrario Ciencia Juvenil," Argentina : Ed. Cincel, 1974. ; il. ; 43p. ; 22 cm.",ISBN : 84-7046-060-9
59," De La Grange, Francois - Reille, Antoine",Las aves y sus secretos," España : ed. Fher S.A., 1976. ; il. ; 79p. ; 25 cm.",ISBN : 84-243-1157-4
60," León, María Teresa",El Cid Campeador," Argentina : Comp.Gral. Fabril Ed., 1976. ; 124p. ; 17 cm. ",nan
61," de Carvantes Saavedra, Miguel",Rinconete y cortadillo," España : KAPELUSZ, 1962. ; 52p. ; 16 cm.",nan
62, Biblioteca SALVAT,Viajes Espaciales," España : Ed. SALVAT, 1973. ; il. ; 141p. ; 129 cm. ",ISBN : 84-345-7411-X
63," Fernández de Moratín, Leandro",El si de las niñas," Argentina : Ed. Sopena, 12969. : 141p. ; 17 cm. ",nan
64," Obligado, Rafael",Poesías completas," Argentina : Ed. Sopena, 1963. ; 142p. ; 19 cm.",nan
65," Benavente, Jacinto",Los intereses creados," Argentina : SALVAT Editores, 1970. ; 136p. ; 18 cm.",nan
66," De la Barca, Calderón",El Alcalde de Zalamea," Argentina : Ed. PLUS ULTRA, 1977. ; 145p. ; 19 cm.",nan
67," De la Barca, Calderón", La vida es sueño," Argentina : SALVAT EDITORES S.A., 1970. ; 195p. ; 18 cm.",nan
68," Melville, Hernán",Bartley el escribiente," Argentina : Ed. Cátedra - Página/12, ; 85p. ; 18 cm.", ISBN : 950-695-106-7
69," Hoffmann, E. T. A.",El Voto," Argentina : Ed. Alianza S.A.-Página/12, ; 93p. ; 18 cm.",ISBN :  950-695-124-1
70, Stendhal,Vanina Vanini," Argentina : Ed. Alianza S.A,-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-100-8
71," Chesterton, Gilbert Keith",El Paraíso de los ladrones," Argentina : Ed. Alianza S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-685-116-0
72," London, Jack",El hombre de la cicatriz y otras narraciones," Argentina : Ed. Alianza S.A.-página/12, ; 93p. ; 18 cm.",ISBN : 950-695-147-0
73," Hoffmann, E .T. A.",La casa vacía," Argentina : Ed. Alianza S.A.-Página/12, ; 93 p. ; 18 cm.",ISBN : 950-695-119-5
74," Chesterton, Gilbert Keit",Las muertes de los Pendragon," Argentina : Ed. Alianza S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-141-1
75," Griene, Grahan",El Terder Hombre," Argentina : Ed. Alianza S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-047-4
76," De Rojas, Fernanado",La Celestina," Argentina : C. Ed. De América Latina, 1969. ; 163p. ; 16 cm.",nan
77," De Quevedo, Francisco",La vida del buscón llamado Don Pablos," Argentina : Salvat Editores S.A., 19969. ; 186p. ; 17 cm.",nan
78," Becquer, Gustavo A.","Rimas, Artículos y Leyendas"," Argentina : Ed. Difusión, 1953. ; 158p. ; 17 cm-",nan
79," De Maupassant, Guy",Cuentos de guerra," Argentina : Ed. E. Rei Arg. S.A.-Página/12, ; 94p. 18 cm.",ISBN : 950-695-091-1
80," De Maupassant, Guy",Un parricida," Argentina : Ed. Alianza S.a.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-135-7
81, Stendhal,Vanina Vanini," Argentina : Ed. Alianza S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-100-8
82," García Lorca, Federico",Doña Rosita La Soltera," Argentina : Ed.Losada S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-075-X
83, De Maupossant,Magnetismo y otros cuentos," Argentina : Ed. Alianza S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-140-3
84," Melville, Hermann","Belly Bud, Marinero "," Argentina : Ed. Catedra S.A.-Página/12, ; 96p. ; 18 cm.",ISBN : 950-695-077-6
85," García Lorca, Federico",Doña Rosita La Soltera," Argentina : Ed. Losada S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-075-X
86," Mayor de Piérola, Amanda","Amanda, dolor y esperanza"," Argentina ; Ed. Chaco,2010 ; 138 p. ; 21 cm.",ISBN : 978-987-24913-7-684-305-8095-6
87," De Maupassant, Guy",Un Parricida," Argentina : Ed. Alianza S.A.-Página/12, ; 94p. ; 18cm.",ISBN : 950-695-135-7
88," Wells, Hebert G.",La máquina del tiempo," Argentina : Ed. Nuevo Siglo S.A., 1995. ; 123p. ; 18 cm.",ISBN : 987-9049-96-9
89," Fernández de Moratín, Leandro",El Sí de las Niñas," Argentina : Ed. Colihue, 1981. ; 125p. ;18 cm.",nan
90," de L'Isle, Villiers - Philippe, Adam",Vox Populi y otros cuentos crueles," Argentina : Ed. Alianza S.A.-Página/12, ; 93p. ; 18 cm.",ISBN : 950-695-133-0
91," De Maupassant, Guy",Cuentos de guerra," Argentina : Ed. E. Rei S.A.-Página/12, ; 94p. ; 18 cm.",ISBN : 950-695-091-1
92," Hernández, Miguel",Antología," Argentina : Ed. Losada S.A.-Página/12, ; 95p. ; 18 cm.",ISBN : 950-695-099-7
93," Melville, Herman",Benito Sereno," Argentina : Ed. Nuevo Siglo S.A., 1995, ; 126p. ; 17 cm.",ISBN : 987-9049-60-8
94," De Cervantes Saavedra, Miguel",La Gitanilla," Argentina : Ed. KAPELUSZ S.A., 1965. ; 74p. ; 16 cm.",nan
95," Becquer, Gustavo Adolfo",Rimas," Argentina : Ed. Alianza S.A.-Página/12, ; 93p. ; 18 cm.",ISBN : 950-695-143-4
96," Bullrich, Silvina",¿A qué hora murió el enfermo?," Argentina : Ed. Rapiri S.A., 1984. ; 199p. ; 19 cm. ",ISBN : 950-19-0171-8
97," Quiroga, Horacio",El Potro Salvaje," Argentina : Ed. Alianza S.A.-Página/12, ; 93 p. ; 18 cm.",ISBN : 950-695-125-X
98, Stendhal,Los Cenci. La Duquesa de Palliano," Argentina : Ed. Alianza S.A.-Página/12, ; 94 p. ; 17 cm.",ISBN : 950-695-107-5
99," Terzi, Mariela - Ortega, Emilio",100 Barcos de Vapor," España . Ediciones S. M., 1987. ; 246 p. ; 18 cm.",ISBN : 84-348-2031-5
100," Wilde, Oscar",El Fantasma de Canterville," Argentina : Ed. E. Rei-Página/12, ; 93 p. ; 18 cm.",ISBN : 950-695-064-4
101, Stendhal,Relatos,"Argentina : Ed. Salvat, 1970. ; 159 p- ; 18 cm.",nan
102," Gorki, Maximo",Malva," Argentina : Ed. Antártica S.A.-Página/12, ; 93 p. ; 18 cm.",ISBN : 950-03-154-3
103," Gogol, Nicolás",El Retrato," Argentina : Ed. Alianza S.A.-Página/12, ; 93 p. ; 18 cm.",ISBN : 950-695-136-5
104," Kipling, Rudyard",Rikki - Tikki - Tavi y otras historias de la selva," Argentina : Ed. Alianza S.A.-Página/12, ; 93 p. ; 18 cm.",ISVN : 950-695-144-6
105," Conan Doyle, Arthr",El carbúmclo azul," Argentina : Ed.Alianza S.A.-Página/12, ; 94 p. ; 18 cm.",ISBN : 950-695-127-6
106," Bande, Manuel",Fortín La Soledad," Argentina : Imprenta Lux S.R.L., 1994. ; 182 p. ; 21 cm.",ISBN : 950-43-5467-X
107," Valera, Juan",Pepita Jiménez," Argentina : Ed. Losada S.A.,1939. ; 191 p. ; 17 cm.",nan
108," Bullrich, Silvina",Mañana digo basta," Argentina : Ed. Sudamericana, 1975. ; 247 p. ; 17 cm.",nan
109," de Ibarbourou, Juana",Chico Carlo," Argentina : Ed. KAPELUSZ, 1958. ; 118 p. ; 13 cm.",nan
110," Casona, Alejandro",Los árboles mueren de pie," Argentina : Ed. Losada S.A., 1984. ; 105 p. ; 17 cm.",nan
111, Asociación Santafesina de Escritores,Mesa de Homenajes," Argentina : Imprenta Lux, 1997. ; 361 p. ; 21 cm.",nan
112," London, Jack",Diablo," Argentina : Ed. Rei-página/12, ; 94 p. ; 18 cm.",ISBN : 950-695-067-9
113," Machado, Antonio",Antología," Argentina : Ed. Losada S.A.-Página/12, ; 94 p. ; 18 cm.",ISBN : 950-695-088-1
114," de Cervantes Saavedrta, Miguel",Novelas Ejemplares," Argentina : Ed. Sopena S.A., 1958. ; 171 p. ; 21 cm.",nan
115," Flavín, Martín",El Hechizado," Argentina : Ed. Sudamericana, 1984. ; 431 p. ; 18 cm.",nan
116,"  London, Jack",La huelga general," Argentina : Ed. Rei-Página/12, ; 92 p. ; 18 cm.",ISBN : 950-695-126-8
117," Renata, Eugenia",Podemos juntar flores," Argentina : Imp. Lux, 2005. ; 236 p. ; 19 cm.",ISBN : 987-43-9485-4
118," Conrad, Josepe",La posada de las dos brujas," Argentina : Ed. Alianza S.A.-página/12, ; 93 p. ; 18 cm.",ISBN : 950-695-103-2
119," Machado, antonio",Los Máximos Creadores," Argentina : Ed. Perfil S.A., 1997. ; 62 p. ; 15 cm.",ISBN : 950-639-031-2
120," Chejov, Anton",El Monje Negro," Argentina : Ed. Alianza S.A.-Página/12, ; 95 p. ; 18 cm.",ISBN : 950-695-055-5
121," Neruda, Pablo",Los Máximos Creadores," Argentina : Ed. Perfil S.A., 1997. ; 60 p. ; 15 cm.",ISBN : 950-639-032-0
122," Lafond, Jaques",Las mejores recetas con soja," Argentina : Gama Prod. Gráfica, 2002. ; 94 p. ; 19 cm.",ISBN : 950-768-398-4
123, WATCH TOWER BIBLE AND TRACT SOCIETY OF , PENNSILVANIA INTERNATIONAL BIBLE STUDENTS, ASSOCIATION,"La vida … ¿Cómo se presentó aquí? ¿Por evolución , o"
124," Vecchioli, Mario R.",Obra Poética édita e inédita," Argentina : Ed. Municipalidad de Rafaela, 1981.; 155-",                     328 p. ; 26 cm.
125," Seton, Anya",Verde Oscuridad -Novela Romántica," Argentina : Emecé, 1979. ; 490p. ; 19 cm.",nan
126," Bande, Manuel",Cuentos de por aquí nomas," Argentina : Imp. Lux, 1996. ; 139 p. ; 21 cm.",ISBN : 987-99646-3-2
127, Goethe,Werther," Argentina : SALVAT Editores S.A., 1969. ; 173 p. ; 18 cm.",nan
128," Conan Doyle, Arthur",Sherlock Holmes El aristócrata solterón," Argentina : Ed. Alianza S.A.-Página/12, ; 94 p. ; 18 cm.",ISBN :950-695-134-9
129," de Quincey, Thomas",La rebelión de los tártaros," Argentina : Ed. Rei S.A.-Página/12, ; 94 p. ; 18 cm.",ISBN : 950-695-159-4
130," Bierce, Ambrose",Los ojos de la pantera y otros relatos," Argentina : Ed. Rei-Página/12, ; 93 p. ; 18 cm.",ISBN : 950-695-131-4
131," Bierce, Ambrose",Un jinete por el cielo," Argentina : Ed. Alianza S.A.-Página/12, ; 93 p. ; 18 cm.",ISVN : 950-695-132-0
132," Chesterton, Gilbert Keith",El candor del Padre Brown," Argentina : Ed. Alianza S.A.-Página/12, ; 93 p. ; 18 cm.",ISBN : 950-695-059-8
133," Sabato, Ernesto",Informe sobre ciegos," Argentina : Rd. Espasa Calpe-Página/12, ; 119 p. ; 18 cm.",ISBN : 987-9015-06-1
134," Bret Harte, Francis",El MONTE DEL Diablo y otros relatos," Argentina : Ed. Rei-Página/12, ; 94 p. ; 18 cm.",ISBN : 950-695-079-C
135," Goglo, Nikolai V.",El Capote," Argentina : Ed. Rei-Página/12, ; 95 p. ; 18 cm.",ISBN : 950-695-120-9
136," Kafka,Franz",La Metamorfosis," Argentina : Ed. Cátedra S.A.-Página/12, ; 94 p. ; 18 cm.",ISBN : 950-695-053-9
137," Bullrich, Silvina",Los Pasajeros del Jardín,"Argentina : Emecé Editores, 1971. ; 185 p. ; 18 cm. ",nan
138," Ribeiro, Alex",¿Quién ganó la COPA MUNDIAL?," Estados Unidos : Ed. CARIBE, 1998. ; 138 P. ; IL. ; 20 CM.",ISBN : 0-88113-495-3
139," Puig, Manuel",Boquitas pintadas," España : Ed. AGEA. S.A., 1969. ; 171 p. ; 21 cm.",ISBN : 84-95594-60-9
140," Ramos-Olivera, Antonio",La Vida de un Rey Memorias del duque de Windsor," Mexico : Ed. Mexicana S.A., 1951. ; il. ; 379 p. ; 21cm. ",nan
141, Imaginador,Diseños de tortas para fiestas," Argentina : IMPRECO GRAFIA, 1996. ; il. ; 15 p. ; 27 cm.",ISBN : 950-768-111-6
142," Cornwell, Patricia",Predator,"Argentina : Ediciones B S.A., 2006. ; 391 p. ; 22 cm",ISBN : 84-666-2911-4
143," De Santais, Pablo",El enigma de París,"Argentina : Ed. Planeta S.A., 2007. ; 281 p. ; 22 cm.",ISBN : 978-958-42-1686-1
144," Colin A, Roman",Secretos del cosmos," Argentina : SALVAT,Editores, 1970. ; 178 p. ; 18 cm.",nan
145," De Vega, Lope",FUENTEOVEJUNA," Argentina : Ed. Sopena,1959. ; 158 p. ; 19 cm.",nan
146," Del Campo, Estanislao",FAUSTO," Argentina : Ed. Sopena, 1958. ; 163 p. ; 19 cm.",nan
147," De Rojas, Fernanado",La Celestina," Argentina : Ed. Sopena, 1958. ; 142 p. ; 22 cm.",nan
148," Dumas, Alejandro",Los Tres Mosqueteros,                : 352 p. ; 23 cm.,nan
149, READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos," México : Reader's Digest, 2000. ; il. ; 574 p. ; 19 cm.",ISSN : 1405-7999 
150, READER'S DIGEST COLECCIÓN DE LIB. SELECTOS,Libros Selectos,"México : Reader's Digest, 2000.; il. 574 p. ; 19 cm.",ISSN1405-7999
151," Baum, Vicky",El lago de las damas," España : Ed. Planeta/Bruguera, 1985. ; 219 p. ; 19 cm.",ISBN : 84-320-8200-1
152," Dayub, Gerardo A.",Gestión Cultural en Entre Ríos," Argentina : Delta Editora, 2008. ; 107 p. ; 21 cm. ",nan
153," Beloff, Mary Ana y Otros",Cuadernos de la carcel," Argentina :   ,1991. ; 157 p. ; 19 cm.",nan
154, Ministerio de Salud y Acción Social,Funciones Esenciales de Salud Pública," Argentina : Ministerio de Saluda, 2008. ; 119 p. ; 23 cm.",ISBN : 978-950-710-113-7
155," Truffer, Isabel - Storani, Silvia M.",El Campo de Ciencia y Tecnología de la UNER," Argentina : UNER,2004. ; il. ; 280 p. ; 24 cm. ",ISBN : 950-698-118-3
156," Chomsky, Noam - Petra, James - Morley, Morris",Clinton La Política del actual Gobierno de EE. UU.," Chile : Ed. Antártica S.A., 1994.  ; 128 p. ; 19 cm.",ISBN : 950-860-017-9
157," Renata, Eugenia",Podemos juntar flores PARTE 1," Argentina : Imp. Lux S.A., 2005. ; 236 p. ; 19 cm. ",ISBN : 987-43-9485-4
158," Renata, Eugenia",Podemos juntar flores PARTE 2," Argentina : Imp. Lux S.A., 2006. ; 257 p. 14 cm. ",ISBN : 987-05-1277-1
159," Renata, Eugenia",Podemos juntar flores PARTE 3," Argentina : Imp. Lux S.A., 2006. ; 206 p. ; 14 cm.",ISBN : 987-05-0968-1
160," Orgambide, Pedro",Ezequiel Martínez Estrada ANTOLIGIA," Chile : Ed. Antartíca S.A., 1995. ; 128 p. ; 19 cm.",ISBN : 950-860-024-1
161," Gorini, Ulises",Tópicos utópicos - dialogos con la izquierda europea," Chile : Ed. Antártica S.A., 1994. ; 128 p. ; 19 cm.",ISBN : 950-860-011-X
162," Gilio, María Esther",Conversaciones," Chile : Ed. Antártica S.A., 1993. ; 128p.  ;19 cm.",ISBN : 950-860-005-5
163," Di Stefano, Maria",Españoles Antología de Cuentos 1980-1993," Chile : Ed. Antártica S.A., 1994. ; 128 p. ; 19 cm.",ISBN : 950-860-015-2 
164," Villafañe, Javier",Antología Personal," Chile : Ed. Antártica S.A., 1993. ; 128 p. ; 19 cm.",ISBN : 950-860-006-3
165," Alvarez, Patricia",Ecos del Sur la otra Ecología,"Chile : Ed. Antártica S.A., 1994. ; 128 p. ; 19 cm.",ISBN : 950-860-009-8
166," Orgambide, Pedro",Gauchos y Soldados," Chile : Ed. Antártica S.A., 1994.; 128 p. ; 19 cm.",ISBN : 950-860-013-6
167," Tomossi, Jorge",Crónicas casi reales," Chile : Ed. Antártica S.A., 1995. ; 128 p. ; 19 cm.",ISBN : 950-860-020-9
168," Moreno, Horacio",Lo Fantastico cuentos de realidad e imaginación, Chile : Ed. Antártica S.A. ; 1993. ; 128 p. ; 19 cm.,ISBN : 950-860-004-7
169," Preidemberg, Daniel",En la noche historias despues de hora," Chile : Ed. Antártica S.A., 1995. ; 128 p. ; 19 cm.",ISBN : 950-860-023-3
170," Dottori, Nora - Lafforgue, Jorge",Las Fronteras," Chile : Ed. Antártica S.A., 1993. ; 128 p. ; 19 cm.",ISBN : 950-99942-8-6
171," Mayer, Marcos",El Peronismo Historias de una pasión argentina," Chile : Ed. Antártica S.A., 1994. ; 128 p. ; 19 cm.",ISBN : 950-860-016-0
172," Puiggros, Adriana - Waldman, Fabiana",La educación ¿Hacia que fututro mira?," Chile : Ed. Antártica S.A. , 1994. ; 128 p. ; 19 cm.",ISBN : 950-860-014-4
173," Shakespeare, William",Hamlet," Argentina : Ed. Salvat S.A., 1982. ; 171 p. ; 18 cm.",ISBN :  84-345-8020-9
174," De Miguel, María Esther",un dandy en la corte del Rey Alfonso," Argentina : Ed. Planeta, 2000. ; 396 p. ; 18 cm.",ISBN : 950-49-0625-5
175," Fernández Díaz, Jorge",Mamá," Argentina : Ed. Sudamericana, 2002. ; 223 p. ; 21 cm.",ISBN : 950-07-2277-1
176," Orwell, george",1 9 8 4," España : Ed. Millenium, 1984. ; 252 p. ; 19 cm.  ",nan
177," Bioy Casares, Adolfo y Borges, Jorge Luis",Los mejores cuentos Policiales (Selección)," Argentina : Emecé Editores, 1962. ; 329 p. ; 17 cm. ",ISBN : 84-206-1368-1
178," García Márquez, Gabriel",La mala hora," Argentina : Ed. Sudamericana, 1973. ; 203 p. ; 16 cm.",nan
179," García Márquez, Gabriel",Ojos de perro azul,"  España : Ed. Plaza & Janes S.A., 1974. ; 140 p. ; 17 cm.",ISBN : 84-01-144108-0
180," García Marquez, Gabriel",Relato de un Naufrago," España : Tusquets Editor, 1978. ; 88 p. ; 17 cm.",nan
181," Simenon, Georges",El asesino del canal," Argentina : Ed. Planeta, 1994. ; 179 p. ; 17 cm.",ISBN : 84-7223-443-6
182," Puzo, Mario",Los Tontos Mueren," España : Ed. Grijalbo, 1980. ;  598 p. ; 18 cm.",ISBN : 84-253-1080-6
183," Miller, Henry",La crucifixión rosada NEXUS," Argentina : Santiago Rueda Ed., 1969. ; 350 p. ; 19 cm.",nan
184," Wesr, Morris",El Navegante," España : Ed. Pomaire, 1978. ; 397 p. ; 17 cm.",ISBN : 84-286-0138-0
185," Kinsale, Laura",El corazón escondido," Argentina : Javier Vergara Ed., 1993. ; 318p. ; 22 cm.",ISBN : 950-15-1322-X
186," Fernanadez De La Reguera, Ricardo",Experimento," España : Plaza & Janes, 1974. ; 151 p. ; 18 cm. ",ISBN : 84-01-44073-4
187, Historias Bíblicas,Mi libro de Historias Bíblicas," Estados Unidos : My Book of Biblie Stories, 1978. ; il. ;",                                  116 p. ; 15 cm.
  ,                                  116 p. ; 15 cm.,nan,nan," de Wahite, Elena G."
188," de Wahite, Elena G.",El Camino a Cristo," Argentina : Editora Sudamericana, 1985. ; 128 p. ; 16 cm. ",ISBN : 950-573-082-9 
189," Sagan, Carl",La conexión cósmica," Argentina : Ed. Hyspamerica, 1978. ; 255 p. ; 19 cm. ",ISBN : 84-7634-115-6
190," McNaught, Judith",Mentira de Amor," Argentina : Ed. Atlántida, 1984. ; 278 p. ; 17 cm.",ISBN : 950-08-1302-5
191," Maurois, Andre",Napoleón," España : Salvat Editores, 1985. ; il. ; 189 p. ; 19 cm.",ISBN : 84-345-8148-9
